,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured
163,Opel,Adam,13.49,82.507,Manual,Petrol,Car Company,150,110,2017,5
164,Mercedes-Benz,GLA 200,16.999,138.8,Manual,Diesel,Car Company,136,100,2014,3
165,Alfa Romeo,Giulia,29.75,37.5,Automatic,Petrol,Car Company,200,147,2020,9
166,Audi,A4,23.499,115.0,Automatic,Diesel,Car Company,150,110,2016,9
167,Ford,S-Max,19.59,90.42,Manual,Diesel,Car Company,150,110,2017,3
168,Land Rover,Range Rover Sport,181.5,35.0,Automatic,Petrol,Car Company,575,423,2022,1
169,Jeep,Compass,18.99,45.151,Manual,Petrol,Car Company,140,103,2018,1
170,Mazda,3,29.958,0.0,Manual,Petrol,Car Company,186,137,2022,9
171,BMW,420,20.95,162.459,Automatic,Diesel,Car Company,184,135,2014,9
172,Volkswagen,T6 Caravelle,39.999,95.7,Automatic,Diesel,Car Company,150,110,2019,4
173,Skoda,Octavia,10.99,93.0,Manual,Petrol,Car Company,105,77,2015,1
174,Mercedes-Benz,AMG GT,229.95,5.384,Automatic,Petrol,Car Company,585,430,2021,2
175,BMW,216,17.49,112.0,Manual,Diesel,Car Company,116,85,2019,3
176,Audi,A4,23.9,96.0,Automatic,Diesel,Car Company,150,110,2017,8
177,BMW,i4,79.95,30.0,Automatic,Electric,Car Company,340,250,2022,10
178,BMW,216,14.95,98.0,Manual,Diesel,Car Company,116,85,2016,3
179,Hyundai,TUCSON,45.274,0.0,Automatic,Electric/Petrol,Car Company,230,169,2022,7
180,BMW,iX3,79.95,500.0,Automatic,Electric,Car Company,286,210,2022,8
181,Audi,S5,36.9,116.0,Automatic,Petrol,Car Company,354,260,2016,9
182,Porsche,991,75.991,139.538,Automatic,Petrol,Car Company,349,257,2013,7
183,BMW,X5,104.9,100.0,Automatic,Electric/Petrol,Car Company,394,290,2022,11
184,Volkswagen,Touareg,29.99,138.34,Automatic,Diesel,Car Company,262,193,2016,1
185,Tesla,Model 3,45.5,48.3,Automatic,Electric,Car Company,334,246,2021,3
186,MINI,Cooper S,28.5,12.82,Automatic,Petrol,Car Company,192,141,2020,8
187,BMW,530,34.99,86.198,Automatic,Electric/Petrol,Car Company,252,185,2018,3
188,Volkswagen,Golf,10.99,148.0,Manual,Diesel,Car Company,105,77,2015,1
189,Audi,A1,21.95,38.246,Manual,Petrol,Car Company,116,85,2019,3
190,Volkswagen,Golf Variant,10.45,128.0,Manual,Diesel,Car Company,105,77,2015,1
191,BMW,530,30.45,124.899,Automatic,Electric/Petrol,Car Company,252,185,2017,4
192,Mercedes-Benz,A 220,30.95,65.0,Automatic,Petrol,Car Company,190,140,2019,2
193,Volkswagen,Golf GTI,11.8,177.0,Manual,Petrol,Car Company,211,155,2011,3
194,Volkswagen,Golf Variant,13.799,132.3,Manual,Diesel,Car Company,116,85,2018,1
195,Volkswagen,Golf GTI,19.995,84.0,Manual,Petrol,Car Company,220,162,2014,4
196,MINI,John Cooper Works,44.95,19.0,Automatic,Petrol,Car Company,306,225,2020,9
197,Alfa Romeo,Giulietta,13.9,103.407,Manual,Petrol,Car Company,120,88,2017,10
198,Jaguar,F-Pace,97.2,12.862,Automatic,Petrol,Car Company,551,405,2022,1
199,MINI,One,11.5,126.431,Manual,Petrol,Car Company,75,55,2017,10
200,Mercedes-Benz,GLE 500,49.995,36.56,Automatic,Petrol,Car Company,333,245,2017,6
201,Porsche,911,195.9,9.226,Automatic,Petrol,Car Company,480,353,2022,3
202,BMW,2002,141.95,12.9,Manual,Petrol,Car Company,170,125,1974,5
203,BMW,318,22.49,53.324,Manual,Diesel,Car Company,150,110,2017,1
204,BMW,125,18.5,104.874,Automatic,Petrol,Car Company,218,160,2015,9
205,Alfa Romeo,Giulietta,13.9,52.439,Manual,Petrol,Car Company,120,88,2017,1
206,Renault,Arkana,31.9,1.377,Automatic,Electric/Petrol,Car Company,94,69,2021,11
207,BMW,850,73.9,40.721,Automatic,Petrol,Car Company,530,390,2019,7
208,Volkswagen,Golf GTI,18.9,104.722,Manual,Petrol,Car Company,230,169,2016,9
209,BMW,M850,77.9,35.0,Automatic,Petrol,Car Company,530,390,2019,3
210,Mercedes-Benz,S 400,62.99,29.0,Automatic,Petrol,Car Company,367,270,2016,9
211,BMW,M8,107.75,15.164,Automatic,Petrol,Car Company,601,442,2021,5
212,Volkswagen,Polo,7.95,75.736,Manual,Petrol,Car Company,60,44,2014,4
213,Volkswagen,Golf,37.25,12.142,Automatic,Petrol,Car Company,245,180,2020,2
214,Mercedes-Benz,E 200,13.49,117.669,Automatic,Diesel,Car Company,136,100,2010,5
