,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured
287,Land Rover,Discovery,42.49,103.068,Automatic,Diesel,Car Company,258,190,2017,4
288,Jaguar,F-Pace,27.5,174.0,Automatic,Petrol,Car Company,340,250,2016,10
289,BMW,114,16.49,95.0,Manual,Diesel,Car Company,95,70,2018,4
290,Porsche,911,184.995,22.173,Manual,Petrol,Car Company,500,368,2018,5
291,BMW,Z4 M,61.45,8.024,Automatic,Petrol,Car Company,340,250,2021,12
292,Mercedes-Benz,CLA 250,43.9,32.879,Automatic,Electric/Petrol,Car Company,218,160,2020,11
293,Mercedes-Benz,V 200,42.99,134.485,Automatic,Diesel,Car Company,136,100,2017,9
294,Audi,A3,29.99,99.0,Automatic,Diesel,Car Company,150,110,2016,7
295,Volkswagen,Golf,27.395,64.8,Automatic,Petrol,Car Company,300,221,2016,2
296,Volvo,XC90,38.9,177.93,Automatic,Electric/Petrol,Car Company,408,300,2016,5
297,Tesla,Model Y,64.5,13.5,Automatic,Electric,Car Company,450,331,2022,1
298,BMW,116,29.95,15.29,Automatic,Petrol,Car Company,109,80,2021,1
299,Volkswagen,Scirocco,20.99,53.0,Manual,Petrol,Car Company,265,195,2010,11
300,Audi,SQ5,84.95,20.0,Automatic,Diesel,Car Company,341,251,2022,5
301,Mercedes-Benz,CLA 200,20.99,99.0,Automatic,Diesel,Car Company,136,100,2015,9
302,Mercedes-Benz,AMG GT,89.99,68.9,Automatic,Petrol,Car Company,367,270,2019,8
303,Land Rover,Discovery,88.9,15.0,Automatic,Petrol,Car Company,360,265,2022,1
304,Opel,Meriva,12.45,15.874,Manual,Petrol,Car Company,120,88,2017,8
305,Volkswagen,Arteon,27.49,69.0,Manual,Diesel,Car Company,150,110,2020,5
306,Volkswagen,Tiguan,24.99,29.193,Manual,Petrol,Car Company,150,110,2017,6
307,BMW,216,14.99,103.229,Manual,Diesel,Car Company,116,85,2017,9
308,BMW,430,33.8,42.766,Manual,Petrol,Car Company,252,185,2018,2
309,Bentley,Continental,250.0,27.359,Automatic,Petrol,Car Company,635,467,2019,6
310,Volkswagen,Golf,12.95,95.239,Manual,Petrol,Car Company,105,77,2014,12
311,Peugeot,308,20.39,61.504,Manual,Diesel,Car Company,131,96,2021,2
312,BMW,545,79.75,13.895,Automatic,Electric/Petrol,Car Company,394,290,2021,10
313,BMW,M5,178.9,3.3,Automatic,Petrol,Car Company,635,467,2022,7
314,BMW,i8,114.995,25.311,Automatic,Electric/Petrol,Car Company,231,170,2019,4
315,BMW,428,23.7,115.201,Automatic,Petrol,Car Company,245,180,2014,4
316,Audi,A1,19.99,82.936,Manual,Petrol,Car Company,116,85,2019,3
317,Porsche,Cayenne,89.99,69.613,Automatic,Petrol,Car Company,340,250,2019,11
318,Lexus,IS 300,28.795,51.547,Automatic,Petrol,Car Company,324,238,2019,1
319,Toyota,C-HR,20.49,53.626,Automatic,Electric/Petrol,Car Company,98,72,2017,2
320,Porsche,Boxster,67.99,14.183,Automatic,Petrol,Car Company,300,221,2019,7
321,Audi,Q3,29.99,80.68,Manual,Diesel,Car Company,150,110,2019,3
322,Audi,Q5,19.95,143.39,Manual,Diesel,Car Company,150,110,2016,12
323,Citroen,DS3,10.69,69.369,Manual,Petrol,Car Company,150,110,2015,3
324,BMW,118,26.49,52.664,Manual,Diesel,Car Company,150,110,2021,1
325,Volkswagen,Golf,23.0,86.142,Manual,Petrol,Car Company,220,162,2015,4
326,Alfa Romeo,Tonale,42.295,0.0,Automatic,Electric/Petrol,Car Company,131,96,2022,9
327,BMW,745,77.5,38.916,Automatic,Electric/Petrol,Car Company,286,210,2020,2
328,BMW,520,52.25,7.1,Automatic,Electric/Petrol,Car Company,204,150,2022,3
329,Mercedes-Benz,C 180,48.95,632.0,Automatic,Petrol,Car Company,156,115,2020,7
330,MINI,Cooper SD,23.95,39.643,Manual,Diesel,Car Company,170,125,2019,3
331,Porsche,992,139.911,8.0,Automatic,Petrol,Car Company,450,331,2019,8
332,BMW,640,36.95,82.2,Automatic,Diesel,Car Company,313,230,2013,5
333,Audi,Q5,27.95,69.756,Manual,Diesel,Car Company,136,100,2017,6
334,Ford,Ranger Raptor,52.9,43.965,Automatic,Diesel,Car Company,213,157,2020,1
335,Volkswagen,Tiguan,26.95,68.498,Automatic,Petrol,Car Company,150,110,2018,5
336,Audi,A6,33.99,83.346,Automatic,Petrol,Car Company,252,185,2018,4
337,Jaguar,E-Type,71.62,0.0,Automatic,Petrol,Car Company,300,221,2022,1
338,Jaguar,XE,25.5,21.59,Automatic,Petrol,Car Company,200,147,2018,4
339,BMW,850,116.9,8.1,Automatic,Petrol,Car Company,530,390,2021,10
340,Jaguar,F-Type,86.224,12.0,Automatic,Petrol,Car Company,300,221,2022,1
341,Porsche,Cayenne,78.9,30.0,Automatic,Petrol,Car Company,340,250,2018,8
342,BMW,420,22.75,99.0,Automatic,Diesel,Car Company,184,135,2014,2
343,Peugeot,508,26.5,54.0,Automatic,Petrol,Car Company,181,133,2019,7
344,Mercedes-Benz,GLC 220,33.0,102.0,Automatic,Diesel,Car Company,163,120,2017,8
345,Alfa Romeo,Giulia,27.995,40.122,Automatic,Diesel,Car Company,160,118,2020,7
346,Audi,A5,31.9,70.551,Automatic,Petrol,Car Company,190,140,2018,6
347,Volkswagen,Beetle,26.99,31.571,Automatic,Petrol,Car Company,220,162,2017,10
348,BMW,420,35.75,66.0,Automatic,Petrol,Car Company,184,135,2019,4
349,BMW,216,21.7,43.455,Automatic,Diesel,Car Company,116,85,2020,6
350,Peugeot,308,17.49,120.442,Manual,Petrol,Car Company,205,151,2016,4
351,BMW,X1,20.9,112.0,Manual,Diesel,Car Company,116,85,2018,11
352,Porsche,Cayman,49.9,89.98,Automatic,Petrol,Car Company,275,202,2013,2
353,Audi,RS5,54.995,67.36,Automatic,Petrol,Car Company,450,331,2017,12
354,SEAT,Tarraco,29.99,60.505,Manual,Diesel,Car Company,150,110,2020,4
355,Skoda,Karoq,26.3,30.0,Automatic,Petrol,Car Company,150,110,2018,11
356,BMW,318,27.8,85.0,Automatic,Diesel,Car Company,150,110,2019,9
357,BMW,X6 M,129.9,18.4,Automatic,Petrol,Car Company,624,459,2020,9
358,Citroen,C5,11.99,90.331,Manual,Diesel,Car Company,150,110,2016,3
359,Alfa Romeo,Stelvio,37.5,15.0,Automatic,Petrol,Car Company,200,147,2021,8
360,Audi,A6 allroad,21.99,180.0,Automatic,Diesel,Car Company,313,230,2013,11
361,Skoda,Superb,12.95,92.0,Automatic,Diesel,Car Company,140,103,2013,10
362,BMW,420,24.99,103.083,Automatic,Diesel,Car Company,184,135,2015,2
