,name,model,price,kilometers,transmission,manufactured_date,fuel_type,power,seller
132,Audi ,TT,€ 30.200,31.583 km,Automatisch,04/2015,Benzine,169 kW (230 PK),Autobedrijf
133,BMW ,X7,€ 119.490,18.000 km,Automatisch,09/2021,Benzine,390 kW (530 PK),Autobedrijf
134,BMW ,M5,€ 74.900,49.957 km,Automatisch,02/2019,Benzine,441 kW (600 PK),Autobedrijf
135,BMW ,M2,€ 43.950,72.597 km,Automatisch,01/2019,Benzine,272 kW (370 PK),Autobedrijf
136,MINI ,John Cooper Works,€ 29.450,55.612 km,Automatisch,03/2018,Benzine,170 kW (231 PK),Autobedrijf
137,Porsche ,911,€ 184.950,27.300 km,Manueel,01/2018,Benzine,368 kW (500 PK),Autobedrijf
138,Mercedes-Benz ,E 220,€ 35.990,119.600 km,Automatisch,04/2019,Diesel,143 kW (194 PK),Autobedrijf
139,Audi ,Q2,€ 21.500,101.000 km,Automatisch,12/2017,Diesel,85 kW (116 PK),Autobedrijf
140,Audi ,RS3,€ 47.999,63.000 km,Automatisch,03/2019,Benzine,294 kW (400 PK),Autobedrijf
141,Lexus ,IS 300,€ 24.200,38.676 km,Automatisch,07/2016,Elektrisch/Benzine,,Autobedrijf
142,BMW ,420,€ 26.999,50.248 km,Automatisch,05/2017,Benzine,120 kW (163 PK),Autobedrijf
143,Jaguar ,F-Type,€ 90.900,0 km,Automatisch,01/2022,Benzine,221 kW (300 PK),Autobedrijf
144,Mercedes-Benz ,E 53 AMG,€ 100.500,10 km,Automatisch,,Benzine,320 kW (435 PK),Autobedrijf
145,Jaguar ,F-Type,€ 47.950,38.825 km,Automatisch,05/2017,Benzine,250 kW (340 PK),Autobedrijf
146,Audi ,A8,€ 139.899,7.500 km,Automatisch,07/2022,Elektrisch/Benzine,250 kW (340 PK),Autobedrijf
147,Porsche ,997,€ 97.990,79.594 km,Automatisch,07/2014,Benzine,383 kW (521 PK),Autobedrijf
148,BMW ,X7 M,€ 119.490,18.000 km,Automatisch,09/2021,Benzine,390 kW (530 PK),Autobedrijf
149,Ford ,Mustang,€ 40.000,45.975 km,Manueel,01/2020,Benzine,331 kW (450 PK),Autobedrijf
150,BMW ,316,€ 18.499,112.000 km,Automatisch,01/2018,Diesel,85 kW (116 PK),Autobedrijf
151,Abarth ,695,,28.000 km,Manueel,11/2019,Benzine,118 kW (160 PK),Autobedrijf
152,Audi ,A3,€ 16.990,83.354 km,Manueel,05/2016,Diesel,81 kW (110 PK),Autobedrijf
153,BMW ,Z4,€ 19.900,145.000 km,Automatisch,06/2013,Benzine,120 kW (163 PK),Autobedrijf
154,Ford ,Ranger,€ 22.990,78.676 km,Manueel,07/2015,Diesel,147 kW (200 PK),Autobedrijf
155,Volkswagen ,Golf,€ 19.920,28.000 km,Manueel,10/2019,Benzine,96 kW (131 PK),Autobedrijf
156,BMW ,420,€ 31.800,88.098 km,Automatisch,05/2018,Diesel,140 kW (190 PK),Autobedrijf
157,Maserati ,GranCabrio,€ 61.990,104.000 km,Automatisch,09/2010,Benzine,323 kW (439 PK),Autobedrijf
158,Land Rover ,Defender,,25.800 km,Manueel,11/2014,Diesel,90 kW (122 PK),Autobedrijf
159,Jaguar ,F-Type,€ 65.300,4.000 km,Automatisch,,Benzine,221 kW (300 PK),Autobedrijf
160,Land Rover ,Defender,,25.800 km,Manueel,11/2014,Diesel,90 kW (122 PK),Autobedrijf
161,Lexus ,GS 300,€ 26.900,64.814 km,Automatisch,08/2015,Elektrisch/Benzine,,Autobedrijf
162,BMW ,420,€ 26.900,97.000 km,Automatisch,08/2016,Diesel,120 kW (163 PK),Autobedrijf
163,MINI ,Cooper,€ 11.990,71.305 km,Automatisch,03/2012,Benzine,90 kW (122 PK),Autobedrijf
164,Jaguar ,E-Pace,€ 25.990,98.000 km,Manueel,05/2019,Diesel,110 kW (150 PK),Autobedrijf
165,Jaguar ,F-Pace,€ 28.490,52.500 km,Automatisch,09/2016,Diesel,132 kW (179 PK),Autobedrijf
166,Audi ,A5,€ 14.999,147.500 km,Automatisch,06/2010,Benzine,132 kW (179 PK),Autobedrijf
167,BMW ,iX,€ 126.900,21.312 km,Automatisch,07/2021,Elektrisch,386 kW (525 PK),Autobedrijf
168,Mitsubishi ,Outlander,€ 23.250,108.236 km,Automatisch,04/2016,Elektrisch/Benzine,,Autobedrijf
169,Audi ,A3,€ 17.499,84.000 km,Manueel,02/2017,Diesel,81 kW (110 PK),Autobedrijf
170,Renault ,Espace,€ 19.150,137.367 km,Automatisch,06/2017,Benzine,147 kW (200 PK),Autobedrijf
171,BMW ,X5,€ 79.990,44.000 km,Automatisch,12/2020,Elektrisch/Benzine,210 kW (286 PK),Autobedrijf
172,Tesla ,Model 3,€ 48.700,15.243 km,Automatisch,08/2021,Elektrisch,246 kW (334 PK),Autobedrijf
173,BMW ,M5,€ 96.900,23.600 km,Automatisch,05/2021,Benzine,442 kW (601 PK),Autobedrijf
174,Mercedes-Benz ,B 180,€ 20.950,70.800 km,Automatisch,01/2018,Benzine,90 kW (122 PK),Autobedrijf
175,Alfa Romeo ,Giulia,€ 59.995,0 km,Automatisch,04/2022,Benzine,206 kW (280 PK),Autobedrijf
176,BMW ,M2,€ 54.750,23.297 km,Automatisch,11/2018,Benzine,302 kW (411 PK),Autobedrijf
