,name,model,price,kilometers,transmission,manufactured_date,fuel_type,power,seller
311,Audi ,A3,€ 32.900,22.015 km,Automatisch,05/2020,Elektrisch/Benzine,150 kW (204 PK),Autobedrijf
312,Mazda ,6,€ 42.689,5 km,Automatisch,,Benzine,143 kW (194 PK),Autobedrijf
313,BMW ,118,€ 28.990,38.664 km,Automatisch,12/2020,Diesel,110 kW (150 PK),Autobedrijf
314,Ford ,Mustang,€ 66.810,,Halfautomaat,12/2023,Benzine,330 kW (449 PK),Autobedrijf
315,Kia ,XCeed,€ 24.950,12.656 km,Manueel,04/2021,Benzine,103 kW (140 PK),Autobedrijf
316,BMW ,530,€ 57.900,3.058 km,Automatisch,12/2021,Elektrisch/Benzine,215 kW (292 PK),Autobedrijf
317,Mercedes-Benz ,GLC 250,€ 31.990,128.000 km,Automatisch,02/2018,Diesel,150 kW (204 PK),Autobedrijf
318,Land Rover ,Discovery,€ 42.490,103.068 km,Automatisch,04/2017,Diesel,190 kW (258 PK),Autobedrijf
319,Jaguar ,F-Pace,€ 27.500,174.000 km,Automatisch,10/2016,Benzine,250 kW (340 PK),Autobedrijf
320,BMW ,114,€ 16.490,95.000 km,Manueel,04/2018,Diesel,70 kW (95 PK),Autobedrijf
321,Land Rover ,Discovery,€ 42.490,103.068 km,Automatisch,04/2017,Diesel,190 kW (258 PK),Autobedrijf
322,Porsche ,911,€ 184.995,22.173 km,Manueel,05/2018,Benzine,368 kW (500 PK),Autobedrijf
323,BMW ,Z4 M,€ 61.450,8.024 km,Automatisch,12/2021,Benzine,250 kW (340 PK),Autobedrijf
324,Mercedes-Benz ,CLA 250,€ 43.900,32.879 km,Automatisch,11/2020,Elektrisch/Benzine,160 kW (218 PK),Autobedrijf
325,Mercedes-Benz ,V 200,€ 42.990,134.485 km,Automatisch,09/2017,Diesel,100 kW (136 PK),Autobedrijf
326,Audi ,A3,€ 29.990,99.000 km,Automatisch,07/2016,Diesel,110 kW (150 PK),Autobedrijf
327,Volkswagen ,Golf,€ 27.395,64.800 km,Automatisch,02/2016,Benzine,221 kW (300 PK),Autobedrijf
328,Volvo ,XC90,€ 38.900,177.930 km,Automatisch,05/2016,Elektrisch/Benzine,300 kW (408 PK),Autobedrijf
329,Tesla ,Model Y,€ 64.500,13.500 km,Automatisch,01/2022,Elektrisch,331 kW (450 PK),Autobedrijf
330,BMW ,116,€ 29.950,15.290 km,Automatisch,01/2021,Benzine,80 kW (109 PK),Autobedrijf
331,Volkswagen ,Scirocco,€ 20.990,53.000 km,Manueel,11/2010,Benzine,195 kW (265 PK),Autobedrijf
332,Audi ,SQ5,€ 84.950,20 km,Automatisch,05/2022,Diesel,251 kW (341 PK),Autobedrijf
333,Mercedes-Benz ,CLA 200,€ 20.990,99.000 km,Automatisch,09/2015,Diesel,100 kW (136 PK),Autobedrijf
334,Mercedes-Benz ,AMG GT,€ 89.990,68.900 km,Automatisch,08/2019,Benzine,270 kW (367 PK),Autobedrijf
335,Land Rover ,Discovery,€ 88.900,15 km,Automatisch,01/2022,Benzine,265 kW (360 PK),Autobedrijf
336,Opel ,Meriva,€ 12.450,15.874 km,Manueel,08/2017,Benzine,88 kW (120 PK),Autobedrijf
337,Volkswagen ,Arteon,€ 27.490,69.000 km,Manueel,05/2020,Diesel,110 kW (150 PK),Autobedrijf
338,Volkswagen ,Tiguan,€ 24.990,29.193 km,Manueel,06/2017,Benzine,110 kW (150 PK),Autobedrijf
339,BMW ,216,€ 14.990,103.229 km,Manueel,09/2017,Diesel,85 kW (116 PK),Autobedrijf
340,BMW ,430,€ 33.800,42.766 km,Manueel,02/2018,Benzine,185 kW (252 PK),Autobedrijf
341,Volkswagen ,Arteon,€ 27.490,69.000 km,Manueel,05/2020,Diesel,110 kW (150 PK),Autobedrijf
342,Bentley ,Continental,€ 250.000,27.359 km,Automatisch,06/2019,Benzine,467 kW (635 PK),Autobedrijf
343,Volkswagen ,Golf,€ 12.950,95.239 km,Manueel,12/2014,Benzine,77 kW (105 PK),Autobedrijf
344,Peugeot ,308,€ 20.390,61.504 km,Manueel,02/2021,Diesel,96 kW (131 PK),Autobedrijf
345,BMW ,545,€ 79.750,13.895 km,Automatisch,10/2021,Elektrisch/Benzine,290 kW (394 PK),Autobedrijf
346,BMW ,M5,€ 178.900,3.300 km,Automatisch,07/2022,Benzine,467 kW (635 PK),Autobedrijf
347,BMW ,i8,€ 114.995,25.311 km,Automatisch,04/2019,Elektrisch/Benzine,170 kW (231 PK),Autobedrijf
348,BMW ,428,€ 23.700,115.201 km,Automatisch,04/2014,Benzine,180 kW (245 PK),Autobedrijf
349,Audi ,A1,€ 19.990,82.936 km,Manueel,03/2019,Benzine,85 kW (116 PK),Autobedrijf
350,Porsche ,Cayenne,€ 89.990,69.613 km,Automatisch,11/2019,Benzine,250 kW (340 PK),Autobedrijf
351,BMW ,530,,8.669 km,Automatisch,10/2017,Benzine,135 kW (184 PK),Autobedrijf
352,Lexus ,IS 300,€ 28.795,51.547 km,Automatisch,01/2019,Benzine,238 kW (324 PK),Autobedrijf
353,Ford ,Mustang,€ 67.429,,Halfautomaat,11/2022,Benzine,330 kW (449 PK),Autobedrijf
354,Toyota ,C-HR,€ 20.490,53.626 km,Automatisch,02/2017,Elektrisch/Benzine,72 kW (98 PK),Autobedrijf
355,Porsche ,Boxster,€ 67.990,14.183 km,Automatisch,07/2019,Benzine,221 kW (300 PK),Autobedrijf
356,Audi ,Q3,€ 29.990,80.680 km,Manueel,03/2019,Diesel,110 kW (150 PK),Autobedrijf
357,Audi ,Q5,€ 19.950,143.390 km,Manueel,12/2016,Diesel,110 kW (150 PK),Autobedrijf
358,Citroen ,DS3,€ 10.690,69.369 km,Manueel,03/2015,Benzine,110 kW (150 PK),Autobedrijf
359,BMW ,118,€ 26.490,52.664 km,Manueel,01/2021,Diesel,110 kW (150 PK),Autobedrijf
360,Volkswagen ,Golf,€ 23.000,86.142 km,Manueel,04/2015,Benzine,162 kW (220 PK),Autobedrijf
361,Alfa Romeo ,Tonale,€ 42.295,0 km,Automatisch,09/2022,Elektrisch/Benzine,96 kW (131 PK),Autobedrijf
362,BMW ,745,€ 77.500,38.916 km,Automatisch,02/2020,Elektrisch/Benzine,210 kW (286 PK),Autobedrijf
363,BMW ,520,€ 52.250,7.100 km,Automatisch,03/2022,Elektrisch/Benzine,150 kW (204 PK),Autobedrijf
364,Mercedes-Benz ,C 180,€ 48.950,632 km,Automatisch,07/2020,Benzine,115 kW (156 PK),Autobedrijf
365,MINI ,Cooper SD,€ 23.950,39.643 km,Manueel,03/2019,Diesel,125 kW (170 PK),Autobedrijf
366,Porsche ,992,€ 139.911,8.000 km,Automatisch,08/2019,Benzine,331 kW (450 PK),Autobedrijf
367,BMW ,640,€ 36.950,82.200 km,Automatisch,05/2013,Diesel,230 kW (313 PK),Autobedrijf
368,Audi ,Q5,€ 27.950,69.756 km,Manueel,06/2017,Diesel,100 kW (136 PK),Autobedrijf
369,Ford ,Ranger Raptor,€ 52.900,43.965 km,Automatisch,01/2020,Diesel,157 kW (213 PK),Autobedrijf
370,Volkswagen ,Tiguan,€ 26.950,68.498 km,Automatisch,05/2018,Benzine,110 kW (150 PK),Autobedrijf
371,Audi ,A6,€ 33.990,83.346 km,Automatisch,04/2018,Benzine,185 kW (252 PK),Autobedrijf
372,Jaguar ,E-Type,€ 71.620,0 km,Automatisch,01/2022,Benzine,221 kW (300 PK),Autobedrijf
373,Jaguar ,XE,€ 25.500,21.590 km,Automatisch,04/2018,Benzine,147 kW (200 PK),Autobedrijf
374,Jaguar ,XE,€ 54.950,10 km,Automatisch,,Benzine,184 kW (250 PK),Autobedrijf
375,BMW ,850,€ 116.900,8.100 km,Automatisch,10/2021,Benzine,390 kW (530 PK),Autobedrijf
376,Jaguar ,F-Type,€ 86.224,12 km,Automatisch,01/2022,Benzine,221 kW (300 PK),Autobedrijf
377,Porsche ,Cayenne,€ 78.900,30.000 km,Automatisch,08/2018,Benzine,250 kW (340 PK),Autobedrijf
378,BMW ,420,€ 22.750,99.000 km,Automatisch,02/2014,Diesel,135 kW (184 PK),Autobedrijf
379,Peugeot ,508,€ 26.500,54.000 km,Automatisch,07/2019,Benzine,133 kW (181 PK),Autobedrijf
380,Mercedes-Benz ,GLC 220,€ 33.000,102.000 km,Automatisch,08/2017,Diesel,120 kW (163 PK),Autobedrijf
381,Alfa Romeo ,Giulia,€ 27.995,40.122 km,Automatisch,07/2020,Diesel,118 kW (160 PK),Autobedrijf
382,Audi ,A5,€ 31.900,70.551 km,Automatisch,06/2018,Benzine,140 kW (190 PK),Autobedrijf
383,Volkswagen ,Beetle,€ 26.990,31.571 km,Automatisch,10/2017,Benzine,162 kW (220 PK),Autobedrijf
384,BMW ,420,€ 35.750,66.000 km,Automatisch,04/2019,Benzine,135 kW (184 PK),Autobedrijf
385,BMW ,216,€ 21.700,43.455 km,Automatisch,06/2020,Diesel,85 kW (116 PK),Autobedrijf
386,Peugeot ,308,€ 17.490,120.442 km,Manueel,04/2016,Benzine,151 kW (205 PK),Autobedrijf
387,BMW ,X1,€ 20.900,112.000 km,Manueel,11/2018,Diesel,85 kW (116 PK),Autobedrijf
388,BMW ,330,€ 22.700,124.881 km,Automatisch,07/2016,Elektrisch/Benzine,,Autobedrijf
389,Porsche ,Cayman,€ 49.900,89.980 km,Automatisch,02/2013,Benzine,202 kW (275 PK),Autobedrijf
390,Audi ,RS5,€ 54.995,67.360 km,Automatisch,12/2017,Benzine,331 kW (450 PK),Autobedrijf
391,SEAT ,Tarraco,€ 29.990,60.505 km,Manueel,04/2020,Diesel,110 kW (150 PK),Autobedrijf
392,Skoda ,Karoq,€ 26.300,30.000 km,Automatisch,11/2018,Benzine,110 kW (150 PK),Autobedrijf
393,BMW ,318,€ 27.800,85.000 km,Automatisch,09/2019,Diesel,110 kW (150 PK),Autobedrijf
394,BMW ,X6 M,€ 129.900,18.400 km,Automatisch,09/2020,Benzine,459 kW (624 PK),Autobedrijf
395,Citroen ,C5,€ 11.990,90.331 km,Manueel,03/2016,Diesel,110 kW (150 PK),Autobedrijf
396,Alfa Romeo ,Stelvio,€ 37.500,15.000 km,Automatisch,08/2021,Benzine,147 kW (200 PK),Autobedrijf
397,Audi ,A6 allroad,€ 21.990,180.000 km,Automatisch,11/2013,Diesel,230 kW (313 PK),Autobedrijf
398,Skoda ,Superb,€ 12.950,92.000 km,Automatisch,10/2013,Diesel,103 kW (140 PK),Autobedrijf
399,BMW ,420,€ 24.990,103.083 km,Automatisch,02/2015,Diesel,135 kW (184 PK),Autobedrijf
