,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured,name_model,kilometers_bins
131,Audi,RS3,47999,63000,Automatic,Petrol,Car Company,400,294,2019,3,Audi RS3,L2
132,BMW,420,26999,50248,Automatic,Petrol,Car Company,163,120,2017,5,BMW 420,L2
133,Jaguar,F-Type,90900,0,Automatic,Petrol,Car Company,300,221,2022,1,Jaguar F-Type,L1
134,Jaguar,F-Type,47950,38825,Automatic,Petrol,Car Company,340,250,2017,5,Jaguar F-Type,L2
135,Audi,A8,139899,7500,Automatic,Electric/Petrol,Car Company,340,250,2022,7,Audi A8,L1
136,Porsche,997,97990,79594,Automatic,Petrol,Car Company,521,383,2014,7,Porsche 997,L3
137,BMW,X7 M,119490,18000,Automatic,Petrol,Car Company,530,390,2021,9,BMW X7 M,L1
138,Ford,Mustang,40000,45975,Manual,Petrol,Car Company,450,331,2020,1,Ford Mustang,L2
139,BMW,316,18499,112000,Automatic,Diesel,Car Company,116,85,2018,1,BMW 316,L4
140,Audi,A3,16990,83354,Manual,Diesel,Car Company,110,81,2016,5,Audi A3,L3
141,BMW,Z4,19900,145000,Automatic,Petrol,Car Company,163,120,2013,6,BMW Z4,L5
142,Ford,Ranger,22990,78676,Manual,Diesel,Car Company,200,147,2015,7,Ford Ranger,L3
143,Volkswagen,Golf,19920,28000,Manual,Petrol,Car Company,131,96,2019,10,Volkswagen Golf,L1
144,BMW,420,31800,88098,Automatic,Diesel,Car Company,190,140,2018,5,BMW 420,L3
145,Maserati,GranCabrio,61990,104000,Automatic,Petrol,Car Company,439,323,2010,9,Maserati GranCabrio,L4
146,BMW,420,26900,97000,Automatic,Diesel,Car Company,163,120,2016,8,BMW 420,L3
147,MINI,Cooper,11990,71305,Automatic,Petrol,Car Company,122,90,2012,3,MINI Cooper,L3
148,Jaguar,E-Pace,25990,98000,Manual,Diesel,Car Company,150,110,2019,5,Jaguar E-Pace,L3
149,Jaguar,F-Pace,28490,52500,Automatic,Diesel,Car Company,179,132,2016,9,Jaguar F-Pace,L2
150,Audi,A5,14999,147500,Automatic,Petrol,Car Company,179,132,2010,6,Audi A5,L5
151,BMW,iX,126900,21312,Automatic,Electric,Car Company,525,386,2021,7,BMW iX,L1
152,Audi,A3,17499,84000,Manual,Diesel,Car Company,110,81,2017,2,Audi A3,L3
153,Renault,Espace,19150,137367,Automatic,Petrol,Car Company,200,147,2017,6,Renault Espace,L5
154,BMW,X5,79990,44000,Automatic,Electric/Petrol,Car Company,286,210,2020,12,BMW X5,L2
155,Tesla,Model 3,48700,15243,Automatic,Electric,Car Company,334,246,2021,8,Tesla Model 3,L1
156,BMW,M5,96900,23600,Automatic,Petrol,Car Company,601,442,2021,5,BMW M5,L1
157,Mercedes-Benz,B 180,20950,70800,Automatic,Petrol,Car Company,122,90,2018,1,Mercedes-Benz B 180,L3
158,Alfa Romeo,Giulia,59995,0,Automatic,Petrol,Car Company,280,206,2022,4,Alfa Romeo Giulia,L1
159,BMW,M2,54750,23297,Automatic,Petrol,Car Company,411,302,2018,11,BMW M2,L1
160,Porsche,991,78950,97000,Automatic,Petrol,Car Company,400,294,2012,9,Porsche 991,L3
161,Renault,Koleos,13950,82123,Manual,Diesel,Car Company,150,110,2013,7,Renault Koleos,L3
162,Jaguar,F-Type,67800,5000,Automatic,Petrol,Car Company,300,221,2022,7,Jaguar F-Type,L1
163,Opel,Adam,13490,82507,Manual,Petrol,Car Company,150,110,2017,5,Opel Adam,L3
164,Mercedes-Benz,GLA 200,16999,138800,Manual,Diesel,Car Company,136,100,2014,3,Mercedes-Benz GLA 200,L5
165,Alfa Romeo,Giulia,29750,37500,Automatic,Petrol,Car Company,200,147,2020,9,Alfa Romeo Giulia,L2
166,Audi,A4,23499,115000,Automatic,Diesel,Car Company,150,110,2016,9,Audi A4,L4
167,Ford,S-Max,19590,90420,Manual,Diesel,Car Company,150,110,2017,3,Ford S-Max,L3
168,Land Rover,Range Rover Sport,181500,35,Automatic,Petrol,Car Company,575,423,2022,1,Land Rover Range Rover Sport,L1
169,Jeep,Compass,18990,45151,Manual,Petrol,Car Company,140,103,2018,1,Jeep Compass,L2
170,Mazda,3,29958,0,Manual,Petrol,Car Company,186,137,2022,9,Mazda 3,L1
171,BMW,420,20950,162459,Automatic,Diesel,Car Company,184,135,2014,9,BMW 420,L5
172,Volkswagen,T6 Caravelle,39999,95700,Automatic,Diesel,Car Company,150,110,2019,4,Volkswagen T6 Caravelle,L3
173,Skoda,Octavia,10990,93000,Manual,Petrol,Car Company,105,77,2015,1,Skoda Octavia,L3
174,Mercedes-Benz,AMG GT,229950,5384,Automatic,Petrol,Car Company,585,430,2021,2,Mercedes-Benz AMG GT,L1
175,BMW,216,17490,112000,Manual,Diesel,Car Company,116,85,2019,3,BMW 216,L4
176,Audi,A4,23900,96000,Automatic,Diesel,Car Company,150,110,2017,8,Audi A4,L3
177,BMW,i4,79950,30,Automatic,Electric,Car Company,340,250,2022,10,BMW i4,L1
178,BMW,216,14950,98000,Manual,Diesel,Car Company,116,85,2016,3,BMW 216,L3
179,Hyundai,TUCSON,45274,0,Automatic,Electric/Petrol,Car Company,230,169,2022,7,Hyundai TUCSON,L1
180,BMW,iX3,79950,500,Automatic,Electric,Car Company,286,210,2022,8,BMW iX3,L1
181,Audi,S5,36900,116000,Automatic,Petrol,Car Company,354,260,2016,9,Audi S5,L4
182,Porsche,991,75991,139538,Automatic,Petrol,Car Company,349,257,2013,7,Porsche 991,L5
183,BMW,X5,104900,100,Automatic,Electric/Petrol,Car Company,394,290,2022,11,BMW X5,L1
184,Volkswagen,Touareg,29990,138340,Automatic,Diesel,Car Company,262,193,2016,1,Volkswagen Touareg,L5
185,Tesla,Model 3,45500,48300,Automatic,Electric,Car Company,334,246,2021,3,Tesla Model 3,L2
186,MINI,Cooper S,28500,12820,Automatic,Petrol,Car Company,192,141,2020,8,MINI Cooper S,L1
187,BMW,530,34990,86198,Automatic,Electric/Petrol,Car Company,252,185,2018,3,BMW 530,L3
188,Volkswagen,Golf,10990,148000,Manual,Diesel,Car Company,105,77,2015,1,Volkswagen Golf,L5
189,Audi,A1,21950,38246,Manual,Petrol,Car Company,116,85,2019,3,Audi A1,L2
190,Volkswagen,Golf Variant,10450,128000,Manual,Diesel,Car Company,105,77,2015,1,Volkswagen Golf Variant,L4
191,BMW,530,30450,124899,Automatic,Electric/Petrol,Car Company,252,185,2017,4,BMW 530,L4
192,Mercedes-Benz,A 220,30950,65000,Automatic,Petrol,Car Company,190,140,2019,2,Mercedes-Benz A 220,L2
193,Volkswagen,Golf GTI,11800,177000,Manual,Petrol,Car Company,211,155,2011,3,Volkswagen Golf GTI,L6
194,Volkswagen,Golf Variant,13799,132300,Manual,Diesel,Car Company,116,85,2018,1,Volkswagen Golf Variant,L4
195,Volkswagen,Golf GTI,19995,84000,Manual,Petrol,Car Company,220,162,2014,4,Volkswagen Golf GTI,L3
196,MINI,John Cooper Works,44950,19000,Automatic,Petrol,Car Company,306,225,2020,9,MINI John Cooper Works,L1
197,Alfa Romeo,Giulietta,13900,103407,Manual,Petrol,Car Company,120,88,2017,10,Alfa Romeo Giulietta,L4
198,Jaguar,F-Pace,97200,12862,Automatic,Petrol,Car Company,551,405,2022,1,Jaguar F-Pace,L1
199,MINI,One,11500,126431,Manual,Petrol,Car Company,75,55,2017,10,MINI One,L4
200,Mercedes-Benz,GLE 500,49995,36560,Automatic,Petrol,Car Company,333,245,2017,6,Mercedes-Benz GLE 500,L2
201,Porsche,911,195900,9226,Automatic,Petrol,Car Company,480,353,2022,3,Porsche 911,L1
202,BMW,2002,141950,12900,Manual,Petrol,Car Company,170,125,1974,5,BMW 2002,L1
203,BMW,318,22490,53324,Manual,Diesel,Car Company,150,110,2017,1,BMW 318,L2
204,BMW,125,18500,104874,Automatic,Petrol,Car Company,218,160,2015,9,BMW 125,L4
205,Alfa Romeo,Giulietta,13900,52439,Manual,Petrol,Car Company,120,88,2017,1,Alfa Romeo Giulietta,L2
206,Renault,Arkana,31900,1377,Automatic,Electric/Petrol,Car Company,94,69,2021,11,Renault Arkana,L1
207,BMW,850,73900,40721,Automatic,Petrol,Car Company,530,390,2019,7,BMW 850,L2
208,Volkswagen,Golf GTI,18900,104722,Manual,Petrol,Car Company,230,169,2016,9,Volkswagen Golf GTI,L4
209,BMW,M850,77900,35000,Automatic,Petrol,Car Company,530,390,2019,3,BMW M850,L2
210,Mercedes-Benz,S 400,62990,29000,Automatic,Petrol,Car Company,367,270,2016,9,Mercedes-Benz S 400,L1
211,BMW,M8,107750,15164,Automatic,Petrol,Car Company,601,442,2021,5,BMW M8,L1
212,Volkswagen,Polo,7950,75736,Manual,Petrol,Car Company,60,44,2014,4,Volkswagen Polo,L3
213,Volkswagen,Golf,37250,12142,Automatic,Petrol,Car Company,245,180,2020,2,Volkswagen Golf,L1
214,Mercedes-Benz,E 200,13490,117669,Automatic,Diesel,Car Company,136,100,2010,5,Mercedes-Benz E 200,L4
215,Volkswagen,e-Golf,23850,106157,Automatic,Electric,Car Company,136,100,2018,4,Volkswagen e-Golf,L4
216,Abarth,595C,27385,1000,Manual,Petrol,Car Company,165,121,2022,7,Abarth 595C,L1
217,Audi,S4,46990,28380,Automatic,Petrol,Car Company,354,260,2017,7,Audi S4,L1
218,Audi,Q2,21990,55000,Manual,Petrol,Car Company,150,110,2018,5,Audi Q2,L2
219,Volkswagen,Golf,12990,97198,Manual,Petrol,Car Company,86,63,2017,2,Volkswagen Golf,L3
220,BMW,435,29950,87974,Automatic,Diesel,Car Company,313,230,2014,10,BMW 435,L3
221,BMW,X3,37495,79500,Automatic,Diesel,Car Company,265,195,2018,7,BMW X3,L3
222,Mercedes-Benz,C 220,13400,94281,Manual,Diesel,Car Company,163,120,2014,5,Mercedes-Benz C 220,L3
223,BMW,M3,47990,145000,Automatic,Petrol,Car Company,431,317,2014,12,BMW M3,L5
224,BMW,Z3,7390,188070,Manual,Petrol,Car Company,116,85,1997,7,BMW Z3,L6
225,Mercedes-Benz,SLC 180,33990,52514,Automatic,Petrol,Car Company,156,115,2017,4,Mercedes-Benz SLC 180,L2
226,Kia,Stonic,13450,90769,Manual,Petrol,Car Company,101,74,2018,11,Kia Stonic,L3
227,Audi,Q2,24950,57548,Automatic,Petrol,Car Company,150,110,2019,4,Audi Q2,L2
228,Porsche,Panamera,46950,85000,Automatic,Petrol,Car Company,333,245,2014,11,Porsche Panamera,L3
229,BMW,Z4,9999,193575,Automatic,Petrol,Car Company,231,170,2005,1,BMW Z4,L6
230,BMW,418,22290,89335,Automatic,Diesel,Car Company,150,110,2017,2,BMW 418,L3
231,BMW,630,40990,78077,Automatic,Diesel,Car Company,265,195,2018,10,BMW 630,L3
