,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured,name_model,kilometers_bins
320,Porsche,Boxster,67990,14183,Automatic,Petrol,Car Company,300,221,2019,7,Porsche Boxster,L1
321,Audi,Q3,29990,80680,Manual,Diesel,Car Company,150,110,2019,3,Audi Q3,L3
322,Audi,Q5,19950,143390,Manual,Diesel,Car Company,150,110,2016,12,Audi Q5,L5
323,Citroen,DS3,10690,69369,Manual,Petrol,Car Company,150,110,2015,3,Citroen DS3,L3
324,BMW,118,26490,52664,Manual,Diesel,Car Company,150,110,2021,1,BMW 118,L2
325,Volkswagen,Golf,23000,86142,Manual,Petrol,Car Company,220,162,2015,4,Volkswagen Golf,L3
326,Alfa Romeo,Tonale,42295,0,Automatic,Electric/Petrol,Car Company,131,96,2022,9,Alfa Romeo Tonale,L1
327,BMW,745,77500,38916,Automatic,Electric/Petrol,Car Company,286,210,2020,2,BMW 745,L2
328,BMW,520,52250,7100,Automatic,Electric/Petrol,Car Company,204,150,2022,3,BMW 520,L1
329,Mercedes-Benz,C 180,48950,632,Automatic,Petrol,Car Company,156,115,2020,7,Mercedes-Benz C 180,L1
330,MINI,Cooper SD,23950,39643,Manual,Diesel,Car Company,170,125,2019,3,MINI Cooper SD,L2
331,Porsche,992,139911,8000,Automatic,Petrol,Car Company,450,331,2019,8,Porsche 992,L1
332,BMW,640,36950,82200,Automatic,Diesel,Car Company,313,230,2013,5,BMW 640,L3
333,Audi,Q5,27950,69756,Manual,Diesel,Car Company,136,100,2017,6,Audi Q5,L3
334,Ford,Ranger Raptor,52900,43965,Automatic,Diesel,Car Company,213,157,2020,1,Ford Ranger Raptor,L2
335,Volkswagen,Tiguan,26950,68498,Automatic,Petrol,Car Company,150,110,2018,5,Volkswagen Tiguan,L3
336,Audi,A6,33990,83346,Automatic,Petrol,Car Company,252,185,2018,4,Audi A6,L3
337,Jaguar,E-Type,71620,0,Automatic,Petrol,Car Company,300,221,2022,1,Jaguar E-Type,L1
338,Jaguar,XE,25500,21590,Automatic,Petrol,Car Company,200,147,2018,4,Jaguar XE,L1
339,BMW,850,116900,8100,Automatic,Petrol,Car Company,530,390,2021,10,BMW 850,L1
340,Jaguar,F-Type,86224,12,Automatic,Petrol,Car Company,300,221,2022,1,Jaguar F-Type,L1
341,Porsche,Cayenne,78900,30000,Automatic,Petrol,Car Company,340,250,2018,8,Porsche Cayenne,L1
342,BMW,420,22750,99000,Automatic,Diesel,Car Company,184,135,2014,2,BMW 420,L3
343,Peugeot,508,26500,54000,Automatic,Petrol,Car Company,181,133,2019,7,Peugeot 508,L2
344,Mercedes-Benz,GLC 220,33000,102000,Automatic,Diesel,Car Company,163,120,2017,8,Mercedes-Benz GLC 220,L4
345,Alfa Romeo,Giulia,27995,40122,Automatic,Diesel,Car Company,160,118,2020,7,Alfa Romeo Giulia,L2
346,Audi,A5,31900,70551,Automatic,Petrol,Car Company,190,140,2018,6,Audi A5,L3
347,Volkswagen,Beetle,26990,31571,Automatic,Petrol,Car Company,220,162,2017,10,Volkswagen Beetle,L1
348,BMW,420,35750,66000,Automatic,Petrol,Car Company,184,135,2019,4,BMW 420,L2
349,BMW,216,21700,43455,Automatic,Diesel,Car Company,116,85,2020,6,BMW 216,L2
350,Peugeot,308,17490,120442,Manual,Petrol,Car Company,205,151,2016,4,Peugeot 308,L4
351,BMW,X1,20900,112000,Manual,Diesel,Car Company,116,85,2018,11,BMW X1,L4
352,Porsche,Cayman,49900,89980,Automatic,Petrol,Car Company,275,202,2013,2,Porsche Cayman,L3
353,Audi,RS5,54995,67360,Automatic,Petrol,Car Company,450,331,2017,12,Audi RS5,L3
354,SEAT,Tarraco,29990,60505,Manual,Diesel,Car Company,150,110,2020,4,SEAT Tarraco,L2
355,Skoda,Karoq,26300,30000,Automatic,Petrol,Car Company,150,110,2018,11,Skoda Karoq,L1
356,BMW,318,27800,85000,Automatic,Diesel,Car Company,150,110,2019,9,BMW 318,L3
357,BMW,X6 M,129900,18400,Automatic,Petrol,Car Company,624,459,2020,9,BMW X6 M,L1
358,Citroen,C5,11990,90331,Manual,Diesel,Car Company,150,110,2016,3,Citroen C5,L3
359,Alfa Romeo,Stelvio,37500,15000,Automatic,Petrol,Car Company,200,147,2021,8,Alfa Romeo Stelvio,L1
360,Audi,A6 allroad,21990,180000,Automatic,Diesel,Car Company,313,230,2013,11,Audi A6 allroad,L6
361,Skoda,Superb,12950,92000,Automatic,Diesel,Car Company,140,103,2013,10,Skoda Superb,L3
362,BMW,420,24990,103083,Automatic,Diesel,Car Company,184,135,2015,2,BMW 420,L4
